"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"33","National","National",1998,19,0.443014,0.57764,79,NA,37,61,NA,9,186,131,32200,1998-05-10
"34","National","National",1998,20,0.638986,0.605216,54,NA,40,52,NA,19,165,120,27263,1998-05-17
"35","National","National",1998,21,0,0,0,0,0,0,0,0,0,0,0,1998-05-24
"36","National","National",1998,22,0,0,0,0,0,0,0,0,0,0,0,1998-05-31
"37","National","National",1998,23,0,0,0,0,0,0,0,0,0,0,0,1998-06-07
"38","National","National",1998,24,0,0,0,0,0,0,0,0,0,0,0,1998-06-14
"39","National","National",1998,25,0,0,0,0,0,0,0,0,0,0,0,1998-06-21
"40","National","National",1998,26,0,0,0,0,0,0,0,0,0,0,0,1998-06-28
"41","National","National",1998,27,0,0,0,0,0,0,0,0,0,0,0,1998-07-05
"42","National","National",1998,28,0,0,0,0,0,0,0,0,0,0,0,1998-07-12
"43","National","National",1998,29,0,0,0,0,0,0,0,0,0,0,0,1998-07-19
"44","National","National",1998,30,0,0,0,0,0,0,0,0,0,0,0,1998-07-26
"45","National","National",1998,31,0,0,0,0,0,0,0,0,0,0,0,1998-08-02
"46","National","National",1998,32,0,0,0,0,0,0,0,0,0,0,0,1998-08-09
"47","National","National",1998,33,0,0,0,0,0,0,0,0,0,0,0,1998-08-16
"48","National","National",1998,34,0,0,0,0,0,0,0,0,0,0,0,1998-08-23
"49","National","National",1998,35,0,0,0,0,0,0,0,0,0,0,0,1998-08-30
"50","National","National",1998,36,0,0,0,0,0,0,0,0,0,0,0,1998-09-06
"51","National","National",1998,37,0,0,0,0,0,0,0,0,0,0,0,1998-09-13
"52","National","National",1998,38,0,0,0,0,0,0,0,0,0,0,0,1998-09-20
"53","National","National",1998,39,0,0,0,0,0,0,0,0,0,0,0,1998-09-27
"54","National","National",1998,40,1.57733,0.697291,115,NA,139,210,NA,26,490,304,70272,1998-10-04
"55","National","National",1998,41,1.3088,0.784777,133,NA,174,262,NA,36,605,328,77092,1998-10-11
"56","National","National",1998,42,1.41744,0.902906,217,NA,225,287,NA,54,783,350,86720,1998-10-18
"57","National","National",1998,43,1.18272,1.13792,278,NA,226,530,NA,52,1086,377,95437,1998-10-25
"58","National","National",1998,44,2.33432,1.01551,298,NA,262,414,NA,60,1034,388,101821,1998-11-01
"59","National","National",1998,45,1.81577,1.0009,258,NA,292,402,NA,70,1022,400,102108,1998-11-08
"60","National","National",1998,46,2.17975,1.13895,355,NA,281,478,NA,64,1178,372,103429,1998-11-15
"61","National","National",1998,47,2.1124,1.44938,291,NA,322,512,NA,83,1208,403,83346,1998-11-22
